ID,Nome,SKU,Tipo,Status,Preço,"Preço Regular","Preço Promoção",Estoque,Categorias,Tags,"Imagem Principal"
4514,"Picolé maracuja",0000040,simple,publish,15,15,,1,,,
4537,"FootJoy Flex CINZA COM ROXO  FEM (TAM 6 1/2)",0000016,simple,publish,990,990,,1,,,
4515,"Picole morango com leite",0000039,simple,publish,15,15,,1,,,
4516,"Picolé Pistache",0000038,simple,publish,20,20,,1,,,
4520,Redbull,0000034,simple,publish,20,20,,1,,,
4523,"FootJoy ONCINHA (TAM 6 1/2)",0000031,simple,publish,1450,1450,,1,,,
4524,"FootJoy ONCINHA (TAM 8 1/2)",0000030,simple,publish,1450,1450,,1,,,
4500,"Pringles churrasco",0000054,simple,publish,18,18,,1,,,
4525,"FootJoy  ONCINHA (TAM 8)",0000029,simple,publish,1450,1450,,1,,,
4451,"Cinto adidas bege Tam M/L",0000104,simple,publish,420,420,,1,,,
4467,"Tênis nike masculino  (Tam 10 ½)",0000088,simple,publish,980,980,,1,,,
4452,"Cinto adidas roxo e preto S/M",0000103,simple,publish,320,320,,1,,,
4468,"Tênis nike com travas (Tam 6) preto e branco",0000087,simple,publish,890,890,,1,,,
4453,"Chapéu adidas Tam S/M",0000102,simple,publish,350,350,,1,,,
4469,"Tênis nike feminino Tam 10",0000086,simple,publish,990,990,,1,,,
4454,"Viseira Under Armour BRANCO",0000101,simple,publish,260,260,,1,,,
4470,"Tênis nike feminino Tam 7y (preto e branco tecidoz)",0000085,simple,publish,790,790,,1,,,
4455,"Viseira Under Armour PRETO",0000100,simple,publish,260,260,,1,,,
4471,"Tênis alto padrão G/Fore (Tam 6.5) branco e roxo",0000084,simple,publish,2450,2450,,1,,,
4456,"viseira adidas feminina cinza quadriculada",0000099,simple,publish,320,320,,1,,,
4472,"Tênis nike feminino (cinza com rosa) TAM 9",0000083,simple,publish,980,980,,1,,,
4441,"Caixa fechada de bolas Taiwan verde (com 12)",0000115,simple,publish,199,199,,1,,,
4457,"Boné titleist roxo claro",0000098,simple,publish,320,320,,1,,,
4473,"Tênis Footjoy mesclado feminino Tam 5 ½",0000082,simple,publish,980,980,,1,,,
4442,"Trio bola bridgestone golf e6 caixa amarela",0000113,simple,publish,120,120,,1,,,
4458,"Boné titleist preto com simbolo redondo branco",0000097,simple,publish,240,240,,1,,,
4474,"Tênis FootJoy infantil TAM 3 (roxo com amarelo)",0000081,simple,publish,450,450,,1,,,
4443,"Trio bola bridgestone golf",0000112,simple,publish,120,120,,1,,,
4459,"Bolsa de sapato",0000096,simple,publish,140,140,,1,,,
4475,"Tênis Footjoy feminino TAM 7 (branco e rosa)",0000080,simple,publish,1250,1250,,1,,,
4444,"Trio bola taiwan verde",0000111,simple,publish,60,60,,1,,,
4460,"Espelho para treino de putter",0000095,simple,publish,140,140,,1,,,
4476,"Tênis Footjoy masculino amarelo fluorescente TAM 8",0000079,simple,publish,1100,1100,,1,,,
4445,"Trio bola taiwan rosa",0000110,simple,publish,60,60,,1,,,
4461,"Toalha microfibra",0000094,simple,publish,80,80,,1,,,
4477,"Tênis FootJoy Flex feminino cinza com azul TAM 6",0000078,simple,publish,990,990,,1,,,
4446,"Trio bola callaway",0000109,simple,publish,100,100,,1,,,
4462,"Escovinha para limpar tacos com recipiente de água",0000093,simple,publish,120,120,,1,,,
4478,"Tênis FootJoy cinca com solado laranja masculino Tam 7 ½",0000077,simple,publish,1350,1350,,1,,,
4447,"Trio de bolas titleist",0000108,simple,publish,100,100,,1,,,
4463,"Suporte para aprender tacar",0000092,simple,publish,150,150,,1,,,
4479,"Tênis FootJoy Flex feminino todo preto TAM 6",0000076,simple,publish,990,990,,1,,,
4448,"Cinto under armour cinza",0000107,simple,publish,380,380,,1,,,
4464,"vara de alinhamento (laranja)",0000091,simple,publish,230,230,,1,,,
4480,"Tênis Adidas ZG23 Golf Shoes Todo preto TAM 10 1/2",0000075,simple,publish,1350,1350,,1,,,
4449,"Cinto Puma trançado azul e bege",0000106,simple,publish,340,340,,1,,,
4465,"vara de alinhamento (amarela)",0000090,simple,publish,230,230,,1,,,
4481,"Tênis Adidas ZG23 Golf Shoes Todo preto TAM 9",0000074,simple,publish,1350,1350,,1,,,
4450,"Cinto Under Armour Azul marinho",0000105,simple,publish,320,320,,1,,,
4466,"Kit de jogo golfe infantil (para brincar)",0000089,simple,publish,550,550,,1,,,
4419,"Mangote preto",0000137,simple,publish,50,50,,1,,,
4435,"Corta vento Alana Tam P",0000121,simple,publish,160,160,,1,,,
4420,"Repelente repellere",0000136,simple,publish,60,60,,1,,,
4436,"Blusa THE NORTH FACE TAM XL",0000120,simple,publish,480,480,,1,,,
4421,"Protetor solar sundown",0000135,simple,publish,60,60,,1,,,
4437,"Corta vento masculino azul marinho tam P",0000119,simple,publish,160,160,,1,,,
4422,"Protetor solar Nivea sun",0000134,simple,publish,69.9,69.9,,1,,,
4438,"Caixa fechada de bolas titleist (com 12)",0000118,simple,publish,320,320,,1,,,
4407,"luva kirkland ML",0000149,simple,publish,130,130,,1,,,
4423,"Protetor solar spray oaz",0000133,simple,publish,79.9,79.9,,1,,,
4439,"Caixa fechada de bolas callaway (com 12)",0000117,simple,publish,320,320,,1,,,
4408,"Luva callaway tam S",0000148,simple,publish,200,200,,1,,,
4424,"pacote de bola usada 100",0000132,simple,publish,100,100,,1,,,
4440,"Caixa fechada de bolas Taiwan rosa (com 12)",0000116,simple,publish,199,199,,1,,,
4409,"luva taylormade TPflex RH-S",0000147,simple,publish,240,240,,1,,,
4425,"pacote de bola usada 120",0000131,simple,publish,120,120,,1,,,
4410,"luva fj contour flx feminina SMALL",0000146,simple,publish,200,200,,1,,,
4426,"Pacote bolinha usada de 80",0000130,simple,publish,80,80,,1,,,
4411,"Luva FJ contour flx masculina CADET MEDIUM",0000145,simple,publish,200,200,,1,,,
